  36 081 Queens                   NY        13    .13        20    .10
  42 029 Chester                  Pa        13    .13        28    .15
  09 005 Litchfield               Ct        13    .13        23    .12
  44 005 Newport                  RI        13    .13        25    .13
  34 021 Mercer                   NJ        12    .12        18    .09
  39 061 Hamilton                 Oh        12    .12        19    .10
  48 029 Bexar                    Tx        12    .12        26    .14
  51 810 Virginia Beach city      Va        12    .12        25    .13
  12 109 St. Johns                Fl        12    .12        30    .16
  36 091 Saratoga                 NY        12    .12        24    .13
  42 101 Philadelphia             Pa        12    .12        17    .09
  51 153 Prince William           Va        12    .12        33    .17
  18 097 Marion                   In        12    .12        31    .16
  47 157 Shelby                   Tn        12    .12        23    .12
  24 510 Baltimore city           Md        12    .12        17    .09
  08 059 Jefferson                Co        12    .12        17    .09
  06 081 San Mateo                Ca        12    .12        21    .11
  06 065 Riverside                Ca        12    .12        24    .13
  37 051 Cumberland               NC        12    .12        18    .09
  09 015 Windham                  Ct        12    .12        22    .11
  08 031 Denver                   Co        12    .12        20    .10
  06 111 Ventura                  Ca        11    .11        19    .10
  53 061 Snohomish                Wa        11    .11        21    .11
  08 069 Larimer                  Co        11    .11        22    .11
  49 035 Salt Lake                Ut        11    .11        32    .17
  48 085 Collin                   Tx        11    .11        33    .17
  23 017 Oxford                   Me        11    .11        13    .07
  23 029 Washington               Me        10    .10        23    .12
  50 017 Orange                   Vt        10    .10        24    .13
  24 027 Howard                   Md        10    .10        17    .09
  53 011 Clark                    Wa        10    .10        30    .16
  39 173 Wood                     Oh        10    .10        28    .15
  25 003 Berkshire                Ma        10    .10        20    .10
  37 133 Onslow                   NC        10    .10        16    .08
  36 109 Tompkins                 NY        10    .10        16    .08
  36 093 Schenectady              NY        10    .10        19    .10
  51 041 Chesterfield             Va        10    .10        28    .15
  50 001 Addison                  Vt        10    .10        19    .10
  36 027 Dutchess                 NY        10    .10        23    .12
   Region 1:   Northeast                   443   4.27       896   4.67
   Region 2:   Midwest                     360   3.47       814   4.24
   Region 3:   South                       653   6.30      1377   7.18
   Region 4:   West                        276   2.66       516   2.69
      33 011   County Non-Migrants      125470           276978
33 013   Merrimack Total Migratio NH      3948             7243
  33 011 Hillsborough             NH       886  22.44      1551  21.41
  33 001 Belknap                  NH       391   9.90       760  10.49
  33 015 Rockingham               NH       217   5.50       390   5.38
  33 009 Grafton                  NH       121   3.06       210   2.90
  25 017 Middlesex                Ma       105   2.66       142   1.96
  33 017 Strafford                NH        85   2.15       140   1.93
  33 019 Sullivan                 NH        70   1.77       148   2.04
  25 009 Essex                    Ma        48   1.22        87   1.20
  57 001 Foreign / Overseas       FR        47   1.19        86   1.19
  25 025 Suffolk                  Ma        43   1.09        48    .66
  33 005 Cheshire                 NH        43   1.09        65    .90
  33 003 Carroll                  NH        39    .99        66    .91
  23 005 Cumberland               Me        35    .89        77   1.06
  33 007 Coos                     NH        28    .71        66    .91
  25 027 Worcester                Ma        28    .71        53    .73
  09 003 Hartford                 Ct        28    .71        47    .65
  23 031 York                     Me        26    .66        54    .75
  04 013 Maricopa                 Az        25    .63        52    .72
  25 021 Norfolk                  Ma        24    .61        37    .51
  12 103 Pinellas                 Fl        23    .58        32    .44
  23 019 Penobscot                Me        21    .53        43    .59
  50 027 Windsor                  Vt        20    .51        38    .52
  50 007 Chittenden               Vt        19    .48        37    .51
  06 073 San Diego                Ca        19    .48        34    .47
  06 037 Los Angeles              Ca        18    .46        24    .33
  12 071 Lee                      Fl        18    .46        37    .51
  12 057 Hillsborough             Fl        17    .43        34    .47
  12 011 Broward                  Fl        16    .41        25    .35
  12 099 Palm Beach               Fl        16    .41        23    .32
  12 009 Brevard                  Fl        15    .38        28    .39
  25 005 Bristol                  Ma        15    .38        31    .43
  50 023 Washington               Vt        15    .38        27    .37
  12 127 Volusia                  Fl        14    .35        24    .33
  36 061 New York                 NY        14    .35        15    .21
  53 033 King                     Wa        13    .33        28    .39
  51 059 Fairfax                  Va        13    .33        32    .44
  12 101 Pasco                    Fl        13    .33        25    .35
  12 115 Sarasota                 Fl        12    .30        17    .23
  24 003 Anne Arundel             Md        12    .30        22    .30
  25 023 Plymouth                 Ma        12    .30        23    .32
  25 001 Barnstable               Ma        12    .30        20    .28
  06 059 Orange                   Ca        11    .28        18    .25
  06 085 Santa Clara              Ca        11    .28        19    .26
  34 039 Union                    NJ        11    .28        26    .36
  44 007 Providence               RI        11    .28        19    .26
  09 009 New Haven                Ct        11    .28        21    .29
  09 001 Fairfield                Ct        11    .28        20    .28
  06 075 San Francisco            Ca        10    .25        10    .14
  24 031 Montgomery               Md        10    .25        16    .22
  12 095 Orange                   Fl        10    .25        17    .23
   Region 1:   Northeast                   366   9.27       737  10.18
