06 001   Alameda Total Migration  Ca     38713            71678
  06 035 Lassen                   Ca        25    .58        55    .70
  06 107 Tulare                   Ca        25    .58        62    .79
  41 039 Lane                     Or        24    .56        47    .60
  32 003 Clark                    Nv        23    .53        36    .46
  41 067 Washington               Or        21    .49        42    .54
  06 047 Merced                   Ca        20    .46        35    .45
  06 041 Marin                    Ca        19    .44        27    .35
  06 011 Colusa                   Ca        18    .42        46    .59
  53 053 Pierce                   Wa        15    .35        31    .40
  15 003 Honolulu                 Hi        15    .35        25    .32
  49 049 Utah                     Ut        14    .32        24    .31
  41 017 Deschutes                Or        14    .32        31    .40
  16 001 Ada                      Id        12    .28        21    .27
  04 019 Pima                     Az        12    .28        31    .40
  06 015 Del Norte                Ca        11    .25        24    .31
  41 033 Josephine                Or        11    .25        22    .28
  41 051 Multnomah                Or        11    .25        16    .20
  53 063 Spokane                  Wa        11    .25        21    .27
  53 061 Snohomish                Wa        11    .25        37    .47
  53 067 Thurston                 Wa        10    .23        16    .20
  41 047 Marion                   Or        10    .23        21    .27
  49 035 Salt Lake                Ut        10    .23        21    .27
  06 033 Lake                     Ca        10    .23        15    .19
  41 035 Klamath                  Or        10    .23        14    .18
   Same State                               62   1.44       114   1.46
   Region 1:   Northeast                    39    .90        63    .81
   Region 2:   Midwest                     120   2.78       263   3.37
   Region 3:   South                       205   4.75       356   4.56
   Region 4:   West                        317   7.34       646   8.27
      06 007   County Non-Migrants       54341           118223
06 009   Calaveras Total Migratio Ca       932             1862
  06 077 San Joaquin              Ca       165  17.70       360  19.33
  06 067 Sacramento               Ca        62   6.65       102   5.48
  06 099 Stanislaus               Ca        60   6.44       119   6.39
  06 109 Tuolumne                 Ca        58   6.22       126   6.77
  06 005 Amador                   Ca        53   5.69       115   6.18
  06 001 Alameda                  Ca        36   3.86        55   2.95
  06 085 Santa Clara              Ca        32   3.43        46   2.47
  06 013 Contra Costa             Ca        26   2.79        41   2.20
  06 037 Los Angeles              Ca        13   1.39        24   1.29
  57 001 Foreign / Overseas       FR        13   1.39        23   1.24
  04 013 Maricopa                 Az        12   1.29        22   1.18
  06 073 San Diego                Ca        12   1.29        23   1.24
  06 019 Fresno                   Ca        11   1.18        25   1.34
  06 087 Santa Cruz               Ca        10   1.07        18    .97
   Same State                              168  18.03       325  17.45
   Same Region, Diff. State                131  14.06       279  14.98
   Different Region                         70   7.51       159   8.54
      06 009   County Non-Migrants       10047            22550
06 011   Colusa Total Migration F Ca       448             1133
  06 101 Sutter                   Ca        47  10.49       127  11.21
  06 113 Yolo                     Ca        42   9.38        89   7.86
  06 007 Butte                    Ca        33   7.37        80   7.06
  06 021 Glenn                    Ca        33   7.37       108   9.53
  06 067 Sacramento               Ca        32   7.14        53   4.68
  06 037 Los Angeles              Ca        18   4.02        70   6.18
  06 001 Alameda                  Ca        13   2.90        30   2.65
   Same State                              134  29.91       345  30.45
   Same Region, Diff. State                 52  11.61       122  10.77
   Different Region                         44   9.82       109   9.62
      06 011   County Non-Migrants        5569            15781
06 013   Contra Costa Total Migra Ca     22700            42394
  06 001 Alameda                  Ca      4656  20.51      7564  17.84
  06 095 Solano                   Ca      1766   7.78      3722   8.78
  06 075 San Francisco            Ca      1503   6.62      2152   5.08
  06 067 Sacramento               Ca       961   4.23      1745   4.12
  06 037 Los Angeles              Ca       881   3.88      1413   3.33
  06 085 Santa Clara              Ca       710   3.13      1190   2.81
  06 081 San Mateo                Ca       642   2.83      1126   2.66
  06 073 San Diego                Ca       432   1.90       736   1.74
  06 077 San Joaquin              Ca       425   1.87       934   2.20
  06 041 Marin                    Ca       383   1.69       613   1.45
  57 001 Foreign / Overseas       FR       361   1.59       713   1.68
  06 059 Orange                   Ca       354   1.56       680   1.60
  06 097 Sonoma                   Ca       315   1.39       577   1.36
  53 033 King                     Wa       249   1.10       529   1.25
  04 013 Maricopa                 Az       205    .90       410    .97
  06 099 Stanislaus               Ca       200    .88       429   1.01
  06 019 Fresno                   Ca       198    .87       391    .92
  06 061 Placer                   Ca       192    .85       363    .86
