12 001   Alachua Total Migration  Fl      7039            11865
  12 111 St. Lucie                Fl       140    .37       254    .38
  12 087 Monroe                   Fl       139    .37       228    .34
  39 035 Cuyahoga                 Oh       136    .36       236    .35
  24 031 Montgomery               Md       134    .36       242    .36
  34 039 Union                    NJ       134    .36       258    .38
  51 059 Fairfax                  Va       134    .36       251    .37
  06 073 San Diego                Ca       132    .35       266    .40
  06 059 Orange                   Ca       130    .35       219    .33
  44 007 Providence               RI       130    .35       205    .31
  26 163 Wayne                    Mi       129    .35       217    .32
  12 115 Sarasota                 Fl       126    .34       235    .35
  34 029 Ocean                    NJ       124    .33       209    .31
  25 009 Essex                    Ma       119    .32       187    .28
  36 085 Richmond                 NY       116    .31       236    .35
  13 067 Cobb                     Ga       116    .31       228    .34
  42 091 Montgomery               Pa       115    .31       192    .29
  34 031 Passaic                  NJ       114    .31       189    .28
  12 105 Polk                     Fl       113    .30       190    .28
  13 089 De Kalb                  Ga       112    .30       180    .27
  12 021 Collier                  Fl       110    .29       183    .27
  04 013 Maricopa                 Az       108    .29       184    .27
  48 439 Tarrant                  Tx       107    .29       205    .31
  25 027 Worcester                Ma       102    .27       168    .25
  36 029 Erie                     NY        97    .26       159    .24
  12 085 Martin                   Fl        96    .26       162    .24
  36 087 Rockland                 NY        96    .26       179    .27
  12 083 Marion                   Fl        94    .25       171    .25
