12 001   Alachua Total Migration  Fl      6194            10626
  13 063 Clayton                  Ga        10    .24        21    .24
  53 053 Pierce                   Wa        10    .24        23    .26
  47 065 Hamilton                 Tn        10    .24        19    .22
  22 051 Jefferson                La        10    .24        33    .37
  21 111 Jefferson                Ky        10    .24        21    .24
   Same State                              136   3.28       296   3.35
   Region 1:   Northeast                   188   4.53       375   4.25
   Region 2:   Midwest                     318   7.66       631   7.15
   Region 3:   South                       873  21.03      1879  21.28
   Region 4:   West                        245   5.90       614   6.95
   Foreign                                  20    .48        51    .58
      12 005   County Non-Migrants       42536            94847
12 007   Bradford Total Migration Fl       547             1141
  12 001 Alachua                  Fl        94  17.18       197  17.27
  12 019 Clay                     Fl        67  12.25       168  14.72
  12 031 Duval                    Fl        55  10.05       107   9.38
  12 125 Union                    Fl        41   7.50        90   7.89
  12 107 Putnam                   Fl        24   4.39        51   4.47
  12 023 Columbia                 Fl        18   3.29        45   3.94
  12 083 Marion                   Fl        13   2.38        21   1.84
   Same State                               98  17.92       189  16.56
   Region 1:   Northeast                    15   2.74        29   2.54
   Region 2:   Midwest                      18   3.29        38   3.33
   Region 3:   South                        89  16.27       181  15.86
   Region 4:   West                         15   2.74        25   2.19
      12 007   County Non-Migrants        6107            14827
12 009   Brevard Total Migration  Fl     10052            18923
  12 095 Orange                   Fl       808   8.04      1283   6.78
  57 005 APO / FPO Zip Code       FR       298   2.96       656   3.47
  12 061 Indian River             Fl       258   2.57       507   2.68
  12 117 Seminole                 Fl       255   2.54       452   2.39
  12 011 Broward                  Fl       250   2.49       414   2.19
  12 127 Volusia                  Fl       223   2.22       429   2.27
  12 057 Hillsborough             Fl       197   1.96       326   1.72
  12 099 Palm Beach               Fl       196   1.95       338   1.79
  12 031 Duval                    Fl       151   1.50       291   1.54
  12 001 Alachua                  Fl       150   1.49       232   1.23
  12 025 Dade                     Fl       142   1.41       221   1.17
  12 103 Pinellas                 Fl       121   1.20       217   1.15
  12 073 Leon                     Fl       108   1.07       145    .77
  12 105 Polk                     Fl       106   1.05       218   1.15
  12 097 Osceola                  Fl       103   1.02       203   1.07
  12 111 St. Lucie                Fl        91    .91       170    .90
